City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Busselton,-33.65,115.3333,22.63,45,0,5.47,AU,1674089617
1,Chimoio,-19.1164,33.4833,18.58,98,74,0.87,MZ,1674089618
2,Tiksi,71.6872,128.8694,-34.07,100,95,0.11,RU,1674089619
3,Fairmont,39.4851,-80.1426,6.33,90,100,0.77,US,1674089620
4,Vaini,-21.2,-175.2,31.09,70,75,3.6,TO,1674089621
5,Creston,41.0586,-94.3614,-0.02,100,100,6.69,US,1674089622
6,Albany,42.6001,-73.9662,4.82,81,100,1.34,US,1674089623
7,Hermanus,-34.4187,19.2345,20.45,90,13,2.76,ZA,1674089623
8,Mikkeli,61.6886,27.2723,0.08,100,100,3.6,FI,1674089624
9,Barcelos,41.5388,-8.6151,5.47,88,14,1.54,PT,1674089625
10,Laas,46.6166,10.7002,-0.51,92,100,3.06,IT,1674089626
11,Coquimbo,-29.9533,-71.3436,16.85,82,40,4.63,CL,1674089470
12,Esim,4.8699,-2.2405,25.84,86,95,3.09,GH,1674089627
13,Cherskiy,68.75,161.3,-42.51,99,100,1.83,RU,1674089628
14,Hobart,-42.8794,147.3294,18.92,48,75,6.17,AU,1674089106
15,Mossamedes,-15.1961,12.1522,23.16,73,100,2.48,AO,1674089629
16,Las Choapas,17.9333,-94.0833,23.08,86,2,1.69,MX,1674089467
17,Grindavik,63.8424,-22.4338,-5.74,79,0,3.09,IS,1674089631
18,North Bend,43.4065,-124.2243,7.14,96,100,4.12,US,1674089587
19,Cayenne,4.9333,-52.3333,23.02,94,100,0.0,GF,1674089436
20,Rikitea,-23.1203,-134.9692,25.55,69,100,0.73,PF,1674089632
21,Chokurdakh,70.6333,147.9167,-37.62,100,29,2.77,RU,1674089633
22,New Norfolk,-42.7826,147.0587,18.73,39,23,2.24,AU,1674089634
23,Mataura,-46.1927,168.8643,26.47,34,6,1.58,NZ,1674089635
24,Nanortalik,60.1432,-45.2371,-1.98,82,100,6.54,GL,1674089635
25,Vidim,56.4088,103.1106,-44.17,100,73,1.41,RU,1674089636
26,Yellowknife,62.456,-114.3525,-5.71,100,100,4.63,CA,1674089637
27,George Town,5.4112,100.3354,26.96,86,20,1.54,MY,1674089571
28,Phaltan,17.9833,74.4333,18.97,42,7,3.02,IN,1674089639
29,Birin,26.8865,88.0718,4.37,72,32,1.63,NP,1674089640
30,Adrar,20.5022,-10.0711,16.81,35,99,3.74,MR,1674089641
31,Velasco Ibarra,-1.05,-79.6167,24.51,85,100,1.93,EC,1674089642
32,Ambilobe,-13.2,49.05,22.87,96,100,7.85,MG,1674089643
33,Ushuaia,-54.8,-68.3,14.81,58,20,10.8,AR,1674089431
34,Butaritari,3.0707,172.7902,27.15,78,89,7.09,KI,1674089645
35,Ribeira Grande,38.5167,-28.7,12.65,84,18,1.79,PT,1674089646
36,Māngrol,21.1167,70.1167,17.82,40,0,4.01,IN,1674089647
37,Longyearbyen,78.2186,15.6401,-11.09,67,0,3.6,SJ,1674089647
38,Tomatlán,19.9333,-105.25,19.31,77,12,1.45,MX,1674089396
39,Bahía Blanca,-38.7196,-62.2724,21.29,92,0,3.6,AR,1674089597
40,Teya,60.3778,92.6267,-28.38,94,100,0.99,RU,1674089650
41,Castro,-24.7911,-50.0119,16.96,91,100,0.84,BR,1674089651
42,Bredasdorp,-34.5322,20.0403,20.0,84,6,2.61,ZA,1674089652
43,Jamestown,42.097,-79.2353,1.8,60,100,2.57,US,1674089653
44,Atuona,-9.8,-139.0333,25.8,78,39,8.55,PF,1674089654
45,Westport,41.1415,-73.3579,8.43,69,100,3.13,US,1674089655
46,Klaksvík,62.2266,-6.589,3.51,93,100,10.02,FO,1674089656
47,Ipaussu,-23.0553,-49.6284,19.28,93,100,2.74,BR,1674089657
48,Visby,57.6409,18.296,2.12,87,75,3.09,SE,1674089658
49,Hambantota,6.1241,81.1185,21.19,100,20,2.57,LK,1674089658
50,Kapaa,22.0752,-159.319,25.62,75,100,1.34,US,1674089659
51,Geraldton,-28.7667,114.6,35.23,31,0,10.29,AU,1674089660
52,Kavos,38.8268,22.8322,15.01,71,42,2.08,GR,1674089661
53,Cape Town,-33.9258,18.4232,20.05,82,20,1.03,ZA,1674089616
54,Santa Lucía,27.9117,-15.5407,13.76,77,40,10.29,ES,1674089662
55,Rockland,41.1668,-74.0496,8.69,68,99,1.34,US,1674089663
56,Lyuban',52.7985,28.0048,4.1,72,100,8.38,BY,1674089664
57,Yazman,29.1212,71.7446,10.45,28,54,4.21,PK,1674089664
58,Fortuna,40.5982,-124.1573,7.59,96,75,0.0,US,1674088886
59,Nikolskoye,59.7035,30.7861,1.0,98,100,4.16,RU,1674089666
60,Port Alfred,-33.5906,26.891,23.43,86,100,0.89,ZA,1674089667
61,Saint-Philippe,-21.3585,55.7679,24.77,88,94,5.76,RE,1674089668
